cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-surface,stem-color,has-ring,ring-type,habitat,season
3.51,,,,,,,,12.75,3.38,,,,,,
0.62,,,,,,,,5.99,3.01,,,,,,
14.53,,,,,,,,4.29,7.28,,,,,,
10.52,,,,,,,,10.31,9.2,,,,,,
12.72,,,,,,,,6.71,5.79,,,,,,
0.85,,,,,,,,14.72,9.66,,,,,,
10.37,,,,,,,,25.93,8.46,,,,,,
3.94,,,,,,,,10.01,2.67,,,,,,
16.8,,,,,,,,3.09,3.87,,,,,,
6.8,,,,,,,,6.59,9.51,,,,,,
9.01,,,,,,,,15.57,11.59,,,,,,
9.11,,,,,,,,7.87,5.54,,,,,,
15.35,,,,,,,,2.31,5.63,,,,,,
5.65,,,,,,,,2.69,6.26,,,,,,
7.64,,,,,,,,1.58,2.92,,,,,,
16.26,,,,,,,,3.38,13.37,,,,,,
1.95,,,,,,,,19.14,14.22,,,,,,
14.9,,,,,,,,9.86,3.21,,,,,,
3.25,,,,,,,,7.41,6.95,,,,,,
10.11,,,,,,,,2.95,10.73,,,,,,
0.95,,,,,,,,11.69,4.72,,,,,,
16.3,,,,,,,,6.44,18.17,,,,,,
6.19,,,,,,,,2.62,15.4,,,,,,
6.52,,,,,,,,2.78,13.21,,,,,,
3.81,,,,,,,,18.81,16.54,,,,,,
7.46,,,,,,,,4.06,8.31,,,,,,
12.02,,,,,,,,6.58,5.07,,,,,,
0.93,,,,,,,,8.21,12.07,,,,,,
1.03,,,,,,,,3.26,6.55,,,,,,
7.04,,,,,,,,24.55,25.21,,,,,,
9.72,,,,,,,,5.44,17.05,,,,,,
12.68,,,,,,,,8.26,29.28,,,,,,
9.31,,,,,,,,3.61,14.08,,,,,,
48.21,,,,,,,,8.7,34.26,,,,,,
11.61,,,,,,,,4.03,1.44,,,,,,
2.47,,,,,,,,3.16,4.03,,,,,,
11.09,,,,,,,,3.35,1.27,,,,,,
4.23,,,,,,,,6.33,7.75,,,,,,
3.68,,,,,,,,3.67,2.74,,,,,,
5.27,,,,,,,,11.1,13.71,,,,,,
13.55,,,,,,,,7.1,3.62,,,,,,
6.69,,,,,,,,3.3,23.03,,,,,,
1.18,,,,,,,,4.4,13.07,,,,,,
2.78,,,,,,,,5.86,15.57,,,,,,
15.9,,,,,,,,7.01,5.73,,,,,,
4.58,,,,,,,,5.1,9.79,,,,,,
1.47,,,,,,,,12.6,8.92,,,,,,
14.76,,,,,,,,8.81,25.82,,,,,,
7.84,,,,,,,,3.5,6.3,,,,,,
7.09,,,,,,,,4.63,26.43,,,,,,
6.61,,,,,,,,8.39,15.27,,,,,,
5.18,,,,,,,,3.68,22.74,,,,,,
17.14,,,,,,,,3.4,2.27,,,,,,
6.49,,,,,,,,6.64,26.19,,,,,,
3.59,,,,,,,,5.11,4.4,,,,,,
11.64,,,,,,,,7.29,6.17,,,,,,
1.07,,,,,,,,8.92,0.97,,,,,,
7.71,,,,,,,,2.54,6.2,,,,,,
7.87,,,,,,,,4.3,18.41,,,,,,
13.33,,,,,,,,3.98,20.88,,,,,,
2.87,,,,,,,,2.93,4.99,,,,,,
3.79,,,,,,,,7.75,14.94,,,,,,
16.03,,,,,,,,4.41,16.93,,,,,,
2.58,,,,,,,,4.12,1.34,,,,,,
5.2,,,,,,,,5.0,17.47,,,,,,
6.87,,,,,,,,1.52,3.47,,,,,,
15.03,,,,,,,,5.25,31.82,,,,,,
2.94,,,,,,,,3.78,17.85,,,,,,
3.13,,,,,,,,9.95,15.62,,,,,,
1.25,,,,,,,,9.06,6.44,,,,,,
10.42,,,,,,,,3.99,13.91,,,,,,
0.98,,,,,,,,2.83,18.69,,,,,,
1.69,,,,,,,,2.63,8.14,,,,,,
4.33,,,,,,,,9.08,1.36,,,,,,
1.58,,,,,,,,13.02,17.26,,,,,,
9.03,,,,,,,,11.12,17.22,,,,,,
10.38,,,,,,,,7.39,9.15,,,,,,
12.37,,,,,,,,2.9,10.34,,,,,,
2.9,,,,,,,,5.36,26.13,,,,,,
10.21,,,,,,,,7.18,15.63,,,,,,
9.73,,,,,,,,6.6,12.14,,,,,,
3.46,,,,,,,,9.91,6.06,,,,,,
2.63,,,,,,,,6.46,15.08,,,,,,
9.7,,,,,,,,2.98,18.1,,,,,,
11.28,,,,,,,,8.05,2.71,,,,,,
8.73,,,,,,,,2.73,13.12,,,,,,
7.74,,,,,,,,8.08,1.16,,,,,,
12.04,,,,,,,,7.99,8.05,,,,,,
8.52,,,,,,,,3.72,13.93,,,,,,
9.39,,,,,,,,7.91,11.29,,,,,,
5.9,,,,,,,,9.11,7.9,,,,,,
3.09,,,,,,,,8.87,15.22,,,,,,
1.89,,,,,,,,9.6,1.48,,,,,,
2.92,,,,,,,,10.21,10.17,,,,,,
3.42,,,,,,,,3.57,29.59,,,,,,
6.71,,,,,,,,3.01,13.9,,,,,,
9.52,,,,,,,,12.1,1.04,,,,,,
4.62,,,,,,,,6.97,11.73,,,,,,
2.17,,,,,,,,9.19,25.65,,,,,,
9.05,,,,,,,,1.38,11.81,,,,,,
7.69,,,,,,,,6.02,9.92,,,,,,
1.97,,,,,,,,2.86,17.68,,,,,,
7.17,,,,,,,,17.65,15.88,,,,,,
0.59,,,,,,,,16.22,19.97,,,,,,
3.28,,,,,,,,5.82,20.67,,,,,,
6.81,,,,,,,,7.12,6.09,,,,,,
7.18,,,,,,,,7.76,7.85,,,,,,
2.85,,,,,,,,5.21,22.57,,,,,,
3.76,,,,,,,,5.72,3.61,,,,,,
0.57,,,,,,,,8.35,5.95,,,,,,
6.09,,,,,,,,9.42,17.16,,,,,,
1.77,,,,,,,,4.5,2.31,,,,,,
1.71,,,,,,,,4.1,18.51,,,,,,
14.02,,,,,,,,8.78,21.31,,,,,,
4.2,,,,,,,,9.1,3.63,,,,,,
2.01,,,,,,,,6.41,8.38,,,,,,
6.98,,,,,,,,3.25,18.45,,,,,,
7.6,,,,,,,,15.77,6.76,,,,,,
7.03,,,,,,,,8.25,41.16,,,,,,
5.04,,,,,,,,11.41,11.74,,,,,,
16.9,,,,,,,,9.69,21.21,,,,,,
4.44,,,,,,,,9.07,13.25,,,,,,
2.14,,,,,,,,8.03,1.4,,,,,,
4.34,,,,,,,,9.3,1.18,,,,,,
4.92,,,,,,,,5.73,3.13,,,,,,
29.69,,,,,,,,3.1,17.91,,,,,,
6.15,,,,,,,,12.45,5.0,,,,,,
5.3,,,,,,,,11.52,35.26,,,,,,
6.31,,,,,,,,16.88,8.59,,,,,,
0.64,,,,,,,,7.25,3.72,,,,,,
8.83,,,,,,,,11.43,5.48,,,,,,
13.39,,,,,,,,5.8,1.49,,,,,,
8.5,,,,,,,,12.18,18.62,,,,,,
6.08,,,,,,,,6.65,1.61,,,,,,
0.88,,,,,,,,6.81,10.2,,,,,,
12.34,,,,,,,,10.59,15.28,,,,,,
2.12,,,,,,,,6.9,26.12,,,,,,
3.0,,,,,,,,4.28,8.56,,,,,,
5.44,,,,,,,,4.45,12.67,,,,,,
2.79,,,,,,,,12.29,18.94,,,,,,
50.36,,,,,,,,5.29,16.34,,,,,,
2.02,,,,,,,,12.33,5.67,,,,,,
4.67,,,,,,,,8.56,38.85,,,,,,
14.19,,,,,,,,8.44,14.36,,,,,,
5.67,,,,,,,,5.34,11.57,,,,,,
4.39,,,,,,,,9.47,2.69,,,,,,
1.14,,,,,,,,11.37,12.96,,,,,,
10.55,,,,,,,,5.41,4.86,,,,,,
3.58,,,,,,,,9.59,16.15,,,,,,
8.06,,,,,,,,7.3,2.3,,,,,,
8.87,,,,,,,,6.24,6.91,,,,,,
2.43,,,,,,,,6.74,3.35,,,,,,
17.54,,,,,,,,2.82,14.05,,,,,,
2.36,,,,,,,,4.62,20.82,,,,,,
7.13,,,,,,,,12.25,9.62,,,,,,
11.36,,,,,,,,1.89,16.83,,,,,,
3.82,,,,,,,,6.99,17.08,,,,,,
9.29,,,,,,,,17.96,5.43,,,,,,
12.39,,,,,,,,7.96,2.36,,,,,,
8.89,,,,,,,,7.93,3.53,,,,,,
8.09,,,,,,,,5.59,3.42,,,,,,
9.33,,,,,,,,8.09,15.55,,,,,,
6.02,,,,,,,,1.25,2.33,,,,,,
0.73,,,,,,,,4.44,1.56,,,,,,
3.67,,,,,,,,15.26,4.54,,,,,,
12.2,,,,,,,,4.14,17.01,,,,,,
1.67,,,,,,,,3.36,14.14,,,,,,
5.59,,,,,,,,10.28,12.38,,,,,,
2.53,,,,,,,,3.94,27.57,,,,,,
1.35,,,,,,,,2.18,18.63,,,,,,
2.57,,,,,,,,8.18,2.9,,,,,,
9.1,,,,,,,,7.09,23.52,,,,,,
3.3,,,,,,,,11.46,21.37,,,,,,
4.29,,,,,,,,1.44,4.91,,,,,,
9.92,,,,,,,,12.24,4.84,,,,,,
10.18,,,,,,,,9.35,3.59,,,,,,
6.0,,,,,,,,11.28,4.92,,,,,,
16.37,,,,,,,,10.44,24.1,,,,,,
5.8,,,,,,,,11.15,13.03,,,,,,
5.76,,,,,,,,7.62,13.82,,,,,,
10.88,,,,,,,,8.38,26.74,,,,,,
10.67,,,,,,,,2.92,15.46,,,,,,
20.63,,,,,,,,10.87,19.98,,,,,,
0.87,,,,,,,,9.78,6.49,,,,,,
1.37,,,,,,,,9.61,26.29,,,,,,
6.72,,,,,,,,8.34,8.57,,,,,,
13.12,,,,,,,,6.67,6.25,,,,,,
5.84,,,,,,,,7.89,9.46,,,,,,
5.32,,,,,,,,4.11,12.6,,,,,,
5.93,,,,,,,,8.41,0.66,,,,,,
9.25,,,,,,,,3.81,7.47,,,,,,
12.31,,,,,,,,19.41,6.68,,,,,,
15.39,,,,,,,,8.24,6.46,,,,,,
3.47,,,,,,,,4.8,15.34,,,,,,
8.38,,,,,,,,2.64,24.17,,,,,,
13.27,,,,,,,,22.36,8.19,,,,,,
9.68,,,,,,,,13.81,4.2,,,,,,
7.7,,,,,,,,8.88,8.87,,,,,,
26.21,,,,,,,,21.34,9.88,,,,,,
4.68,,,,,,,,8.47,26.41,,,,,,
5.17,,,,,,,,14.64,10.3,,,,,,
11.87,,,,,,,,8.96,6.75,,,,,,
2.84,,,,,,,,8.64,6.88,,,,,,
4.36,,,,,,,,3.96,0.9,,,,,,
10.89,,,,,,,,3.97,4.31,,,,,,
12.44,,,,,,,,4.09,13.42,,,,,,
4.28,,,,,,,,3.95,16.46,,,,,,
1.94,,,,,,,,6.89,14.98,,,,,,
9.88,,,,,,,,8.28,5.84,,,,,,
8.67,,,,,,,,5.33,18.76,,,,,,
1.16,,,,,,,,3.48,11.95,,,,,,
13.46,,,,,,,,3.84,18.46,,,,,,
14.27,,,,,,,,5.03,25.16,,,,,,
3.21,,,,,,,,5.48,8.43,,,,,,
12.46,,,,,,,,12.43,14.95,,,,,,
2.65,,,,,,,,4.36,10.39,,,,,,
10.09,,,,,,,,12.37,21.86,,,,,,
8.99,,,,,,,,11.91,4.94,,,,,,
2.46,,,,,,,,8.51,2.2,,,,,,
12.43,,,,,,,,4.65,5.27,,,,,,
5.72,,,,,,,,6.77,8.33,,,,,,
0.89,,,,,,,,11.24,14.12,,,,,,
10.96,,,,,,,,9.66,8.32,,,,,,
7.38,,,,,,,,5.66,16.5,,,,,,
6.9,,,,,,,,7.54,8.72,,,,,,
7.62,,,,,,,,20.7,18.71,,,,,,
9.17,,,,,,,,2.34,22.3,,,,,,
2.09,,,,,,,,11.92,30.7,,,,,,
12.15,,,,,,,,3.63,7.33,,,,,,
7.44,,,,,,,,8.8,1.17,,,,,,
8.71,,,,,,,,3.52,10.15,,,,,,
6.18,,,,,,,,12.92,2.78,,,,,,
9.46,,,,,,,,8.12,6.47,,,,,,
5.19,,,,,,,,11.22,7.76,,,,,,
6.22,,,,,,,,14.74,7.05,,,,,,
0.66,,,,,,,,6.39,11.58,,,,,,
5.49,,,,,,,,3.86,44.26,,,,,,
5.92,,,,,,,,11.93,6.37,,,,,,
17.04,,,,,,,,10.17,7.43,,,,,,
2.33,,,,,,,,10.25,20.61,,,,,,
8.93,,,,,,,,6.57,4.74,,,,,,
4.59,,,,,,,,3.06,21.45,,,,,,
3.93,,,,,,,,23.35,14.21,,,,,,
8.08,,,,,,,,13.84,1.02,,,,,,
5.25,,,,,,,,3.41,11.56,,,,,,
12.16,,,,,,,,9.94,11.47,,,,,,
9.76,,,,,,,,9.85,28.41,,,,,,
16.66,,,,,,,,5.65,4.98,,,,,,
0.79,,,,,,,,20.02,16.55,,,,,,
3.98,,,,,,,,4.97,13.1,,,,,,
9.45,,,,,,,,5.38,9.29,,,,,,
2.72,,,,,,,,5.04,0.87,,,,,,
9.38,,,,,,,,6.63,11.08,,,,,,
7.0,,,,,,,,3.69,31.93,,,,,,
8.12,,,,,,,,12.84,6.59,,,,,,
2.6,,,,,,,,3.93,30.92,,,,,,
0.99,,,,,,,,7.02,7.62,,,,,,
16.67,,,,,,,,9.49,3.09,,,,,,
3.97,,,,,,,,12.15,3.48,,,,,,
3.4,,,,,,,,2.26,3.65,,,,,,
3.43,,,,,,,,11.45,5.34,,,,,,
2.26,,,,,,,,9.12,32.32,,,,,,
2.1,,,,,,,,9.62,25.11,,,,,,
16.46,,,,,,,,15.27,5.97,,,,,,
9.44,,,,,,,,7.78,25.04,,,,,,
14.72,,,,,,,,8.69,15.03,,,,,,
3.5,,,,,,,,12.55,47.08,,,,,,
8.55,,,,,,,,6.05,9.67,,,,,,
4.89,,,,,,,,6.34,16.86,,,,,,
1.84,,,,,,,,9.83,6.45,,,,,,
3.44,,,,,,,,7.85,2.68,,,,,,
6.03,,,,,,,,9.43,17.25,,,,,,
4.99,,,,,,,,11.64,29.21,,,,,,
6.62,,,,,,,,5.45,13.26,,,,,,
6.13,,,,,,,,10.62,11.44,,,,,,
16.47,,,,,,,,14.75,5.62,,,,,,
7.55,,,,,,,,9.98,4.45,,,,,,
13.05,,,,,,,,8.76,4.51,,,,,,
4.94,,,,,,,,2.85,7.87,,,,,,
3.24,,,,,,,,16.35,20.0,,,,,,
2.21,,,,,,,,7.24,13.81,,,,,,
0.92,,,,,,,,9.71,1.59,,,,,,
10.13,,,,,,,,9.57,7.97,,,,,,
1.1,,,,,,,,2.75,15.13,,,,,,
6.84,,,,,,,,8.06,3.68,,,,,,
2.59,,,,,,,,1.61,24.66,,,,,,
9.53,,,,,,,,6.29,10.79,,,,,,
4.11,,,,,,,,2.4,9.34,,,,,,
3.02,,,,,,,,4.01,2.65,,,,,,
6.85,,,,,,,,8.13,7.58,,,,,,
0.8,,,,,,,,6.92,27.73,,,,,,
3.96,,,,,,,,2.94,1.22,,,,,,
10.83,,,,,,,,3.43,21.78,,,,,,
2.07,,,,,,,,3.2,10.13,,,,,,
9.89,,,,,,,,10.58,25.79,,,,,,
6.55,,,,,,,,2.27,13.65,,,,,,
11.78,,,,,,,,10.07,11.34,,,,,,
13.69,,,,,,,,3.34,14.28,,,,,,
3.89,,,,,,,,8.98,2.62,,,,,,
10.8,,,,,,,,13.96,4.39,,,,,,
11.05,,,,,,,,10.13,9.05,,,,,,
8.18,,,,,,,,7.48,14.82,,,,,,
7.96,,,,,,,,8.36,12.12,,,,,,
15.0,,,,,,,,11.14,24.69,,,,,,
4.57,,,,,,,,12.0,14.03,,,,,,
11.84,,,,,,,,3.87,45.63,,,,,,
3.16,,,,,,,,2.06,7.08,,,,,,
2.45,,,,,,,,6.51,14.44,,,,,,
4.09,,,,,,,,11.26,8.6,,,,,,
13.36,,,,,,,,11.75,2.39,,,,,,
8.11,,,,,,,,7.36,4.47,,,,,,
3.53,,,,,,,,9.09,3.36,,,,,,
12.69,,,,,,,,17.41,1.29,,,,,,
6.74,,,,,,,,11.18,7.65,,,,,,
1.06,,,,,,,,4.83,20.92,,,,,,
4.93,,,,,,,,10.48,14.9,,,,,,
14.64,,,,,,,,7.64,18.29,,,,,,
10.82,,,,,,,,6.98,9.76,,,,,,
8.22,,,,,,,,8.72,5.35,,,,,,
10.01,,,,,,,,12.46,24.52,,,,,,
2.75,,,,,,,,8.0,7.16,,,,,,
12.0,,,,,,,,3.65,15.85,,,,,,
55.94,,,,,,,,7.37,1.14,,,,,,
5.63,,,,,,,,2.79,4.48,,,,,,
6.68,,,,,,,,8.48,18.0,,,,,,
10.97,,,,,,,,9.27,16.91,,,,,,
12.51,,,,,,,,20.05,4.95,,,,,,
4.74,,,,,,,,1.69,33.86,,,,,,
27.65,,,,,,,,8.14,12.08,,,,,,
8.07,,,,,,,,7.74,1.03,,,,,,
8.66,,,,,,,,23.32,6.1,,,,,,
9.06,,,,,,,,2.3,12.27,,,,,,
11.98,,,,,,,,6.84,16.84,,,,,,
7.81,,,,,,,,10.12,7.2,,,,,,
3.63,,,,,,,,22.17,8.29,,,,,,
12.91,,,,,,,,9.68,7.93,,,,,,
16.88,,,,,,,,13.77,2.26,,,,,,
10.92,,,,,,,,15.81,7.82,,,,,,
2.31,,,,,,,,4.58,12.66,,,,,,
9.48,,,,,,,,13.94,34.02,,,,,,
21.89,,,,,,,,7.2,1.07,,,,,,
3.6,,,,,,,,10.56,39.12,,,,,,
8.58,,,,,,,,12.81,7.24,,,,,,
11.52,,,,,,,,13.16,16.33,,,,,,
5.36,,,,,,,,6.86,16.76,,,,,,
7.66,,,,,,,,3.14,4.64,,,,,,
3.37,,,,,,,,1.24,23.28,,,,,,
15.25,,,,,,,,22.16,49.8,,,,,,
2.38,,,,,,,,3.0,13.23,,,,,,
13.76,,,,,,,,8.02,13.02,,,,,,
10.28,,,,,,,,17.89,27.69,,,,,,
1.7,,,,,,,,2.16,17.8,,,,,,
2.4,,,,,,,,9.54,24.39,,,,,,
1.32,,,,,,,,7.47,3.64,,,,,,
0.51,,,,,,,,13.63,25.2,,,,,,
13.79,,,,,,,,7.66,14.23,,,,,,
6.27,,,,,,,,8.9,10.23,,,,,,
8.46,,,,,,,,8.3,1.39,,,,,,
3.75,,,,,,,,16.79,8.48,,,,,,
15.92,,,,,,,,7.22,25.57,,,,,,
5.7,,,,,,,,3.56,9.3,,,,,,
6.92,,,,,,,,6.52,22.22,,,,,,
6.63,,,,,,,,11.04,13.35,,,,,,
1.88,,,,,,,,11.01,31.78,,,,,,
6.5,,,,,,,,10.54,16.17,,,,,,
10.35,,,,,,,,12.27,15.48,,,,,,
2.99,,,,,,,,9.8,13.85,,,,,,
8.84,,,,,,,,9.53,17.83,,,,,,
9.58,,,,,,,,1.47,3.43,,,,,,
11.19,,,,,,,,3.29,19.26,,,,,,
4.75,,,,,,,,11.98,19.29,,,,,,
8.2,,,,,,,,10.45,7.69,,,,,,
5.41,,,,,,,,7.45,4.08,,,,,,
16.36,,,,,,,,2.8,16.99,,,,,,
4.21,,,,,,,,14.63,23.7,,,,,,
11.48,,,,,,,,9.55,14.62,,,,,,
8.9,,,,,,,,2.88,6.36,,,,,,
9.98,,,,,,,,7.7,12.5,,,,,,
1.29,,,,,,,,1.71,3.12,,,,,,
5.86,,,,,,,,12.96,6.35,,,,,,
11.02,,,,,,,,8.59,17.7,,,,,,
1.34,,,,,,,,6.87,9.69,,,,,,
4.06,,,,,,,,9.24,7.91,,,,,,
8.68,,,,,,,,2.74,11.82,,,,,,
11.24,,,,,,,,11.53,7.26,,,,,,
3.55,,,,,,,,16.47,6.08,,,,,,
14.23,,,,,,,,9.45,16.48,,,,,,
4.71,,,,,,,,3.47,5.72,,,,,,
4.02,,,,,,,,9.46,2.0,,,,,,
8.61,,,,,,,,10.3,14.0,,,,,,
3.2,,,,,,,,12.62,14.55,,,,,,
5.31,,,,,,,,11.81,5.57,,,,,,
5.6,,,,,,,,8.17,18.22,,,,,,
8.7,,,,,,,,18.35,8.81,,,,,,
4.15,,,,,,,,7.14,13.29,,,,,,
17.3,,,,,,,,9.76,10.21,,,,,,
11.25,,,,,,,,10.51,19.09,,,,,,
6.82,,,,,,,,2.47,6.01,,,,,,
6.3,,,,,,,,9.5,12.52,,,,,,
6.17,,,,,,,,1.98,30.62,,,,,,
10.31,,,,,,,,12.17,10.78,,,,,,
8.86,,,,,,,,2.49,5.32,,,,,,
13.51,,,,,,,,9.26,17.07,,,,,,
10.44,,,,,,,,7.58,4.23,,,,,,
20.53,,,,,,,,10.26,17.92,,,,,,
1.92,,,,,,,,3.44,5.19,,,,,,
1.72,,,,,,,,6.68,6.13,,,,,,
15.56,,,,,,,,2.71,21.54,,,,,,
3.27,,,,,,,,2.1,23.49,,,,,,
8.26,,,,,,,,20.41,19.65,,,,,,
7.45,,,,,,,,10.6,1.72,,,,,,
11.49,,,,,,,,10.39,12.9,,,,,,
11.01,,,,,,,,2.87,5.94,,,,,,
6.91,,,,,,,,12.3,21.51,,,,,,
3.78,,,,,,,,9.23,30.9,,,,,,
9.62,,,,,,,,7.9,32.15,,,,,,
4.27,,,,,,,,2.68,12.82,,,,,,
11.44,,,,,,,,15.76,18.18,,,,,,
2.42,,,,,,,,8.67,6.51,,,,,,
8.25,,,,,,,,6.93,16.75,,,,,,
2.22,,,,,,,,21.61,20.49,,,,,,
1.81,,,,,,,,11.55,6.39,,,,,,
4.97,,,,,,,,11.66,25.58,,,,,,
1.76,,,,,,,,17.05,4.28,,,,,,
0.68,,,,,,,,17.94,13.94,,,,,,
0.84,,,,,,,,9.7,3.0,,,,,,
11.17,,,,,,,,18.45,21.79,,,,,,
3.86,,,,,,,,8.82,8.65,,,,,,
6.73,,,,,,,,11.71,13.95,,,,,,
2.08,,,,,,,,9.58,15.84,,,,,,
5.1,,,,,,,,8.83,3.07,,,,,,
1.33,,,,,,,,2.61,5.49,,,,,,
9.14,,,,,,,,8.89,4.57,,,,,,
1.21,,,,,,,,13.27,3.39,,,,,,
4.49,,,,,,,,17.27,31.96,,,,,,
1.78,,,,,,,,10.33,17.98,,,,,,
11.15,,,,,,,,9.56,10.05,,,,,,
2.37,,,,,,,,13.65,16.88,,,,,,
9.91,,,,,,,,13.76,18.08,,,,,,
9.78,,,,,,,,10.86,26.56,,,,,,
5.61,,,,,,,,8.99,6.9,,,,,,
2.83,,,,,,,,8.58,3.8,,,,,,
18.9,,,,,,,,15.32,20.4,,,,,,
9.93,,,,,,,,10.93,13.5,,,,,,
12.33,,,,,,,,7.5,12.83,,,,,,
22.19,,,,,,,,1.4,2.83,,,,,,
11.29,,,,,,,,1.79,16.58,,,,,,
12.35,,,,,,,,12.11,12.86,,,,,,
14.16,,,,,,,,7.17,5.91,,,,,,
3.06,,,,,,,,1.97,15.0,,,,,,
7.42,,,,,,,,10.43,10.52,,,,,,
0.76,,,,,,,,12.35,10.96,,,,,,
1.83,,,,,,,,3.08,2.96,,,,,,
11.65,,,,,,,,2.29,7.11,,,,,,
19.85,,,,,,,,13.83,13.2,,,,,,
8.29,,,,,,,,10.36,5.38,,,,,,
1.82,,,,,,,,2.42,8.11,,,,,,
18.95,,,,,,,,9.32,33.07,,,,,,
11.85,,,,,,,,18.63,16.61,,,,,,
18.14,,,,,,,,9.87,13.18,,,,,,
0.67,,,,,,,,9.64,11.48,,,,,,
15.42,,,,,,,,11.62,17.86,,,,,,
5.77,,,,,,,,11.29,5.69,,,,,,
5.12,,,,,,,,10.05,14.91,,,,,,
11.13,,,,,,,,12.23,17.1,,,,,,
10.5,,,,,,,,10.11,6.57,,,,,,
5.51,,,,,,,,1.77,3.52,,,,,,
13.47,,,,,,,,2.96,20.04,,,,,,
10.3,,,,,,,,10.73,9.08,,,,,,
1.6,,,,,,,,8.84,14.37,,,,,,
7.78,,,,,,,,10.53,1.05,,,,,,
10.34,,,,,,,,1.72,2.72,,,,,,
12.22,,,,,,,,10.77,3.7,,,,,,
47.83,,,,,,,,16.32,28.68,,,,,,
10.64,,,,,,,,21.03,11.02,,,,,,
8.49,,,,,,,,18.76,5.45,,,,,,
3.87,,,,,,,,15.96,13.61,,,,,,
5.08,,,,,,,,8.52,32.3,,,,,,
4.54,,,,,,,,29.34,9.73,,,,,,
11.6,,,,,,,,2.25,15.9,,,,,,
15.84,,,,,,,,20.65,9.42,,,,,,
4.87,,,,,,,,2.55,20.38,,,,,,
2.66,,,,,,,,9.92,7.14,,,,,,
9.21,,,,,,,,1.33,23.01,,,,,,
6.07,,,,,,,,7.73,16.3,,,,,,
10.85,,,,,,,,21.72,14.3,,,,,,
1.44,,,,,,,,12.71,4.87,,,,,,
10.36,,,,,,,,17.83,3.32,,,,,,
2.5,,,,,,,,20.97,21.64,,,,,,
13.04,,,,,,,,2.7,3.14,,,,,,
15.17,,,,,,,,7.77,4.02,,,,,,
13.78,,,,,,,,9.28,2.61,,,,,,
8.24,,,,,,,,11.59,13.79,,,,,,
2.52,,,,,,,,11.72,13.44,,,,,,
9.86,,,,,,,,16.89,7.77,,,,,,
12.99,,,,,,,,12.31,12.18,,,,,,
18.19,,,,,,,,9.4,1.0,,,,,,
15.54,,,,,,,,11.13,5.41,,,,,,
50.76,,,,,,,,7.94,12.94,,,,,,
16.96,,,,,,,,9.21,29.02,,,,,,
9.24,,,,,,,,6.94,23.85,,,,,,
11.69,,,,,,,,17.76,24.99,,,,,,
5.07,,,,,,,,13.72,3.15,,,,,,
14.18,,,,,,,,16.63,12.49,,,,,,
13.61,,,,,,,,14.97,19.35,,,,,,
14.51,,,,,,,,10.75,20.19,,,,,,
1.12,,,,,,,,8.42,16.69,,,,,,
8.51,,,,,,,,13.86,4.04,,,,,,
7.89,,,,,,,,15.11,2.73,,,,,,
1.46,,,,,,,,11.89,27.27,,,,,,
1.19,,,,,,,,8.6,20.81,,,,,,
9.64,,,,,,,,9.65,14.46,,,,,,
5.5,,,,,,,,10.9,11.8,,,,,,
10.54,,,,,,,,8.32,14.8,,,,,,
11.93,,,,,,,,13.22,13.06,,,,,,
10.66,,,,,,,,14.36,18.3,,,,,,
5.05,,,,,,,,21.37,2.63,,,,,,
5.15,,,,,,,,13.0,15.09,,,,,,
2.06,,,,,,,,9.34,9.13,,,,,,
0.71,,,,,,,,1.74,26.54,,,,,,
1.63,,,,,,,,2.48,46.59,,,,,,
16.93,,,,,,,,13.51,5.66,,,,,,
11.31,,,,,,,,3.11,18.83,,,,,,
11.77,,,,,,,,13.12,14.33,,,,,,
8.81,,,,,,,,11.86,7.89,,,,,,
16.12,,,,,,,,1.48,6.92,,,,,,
12.61,,,,,,,,11.7,3.03,,,,,,
10.48,,,,,,,,11.17,7.39,,,,,,
9.67,,,,,,,,4.18,16.18,,,,,,
13.99,,,,,,,,19.37,26.79,,,,,,
14.57,,,,,,,,15.47,7.03,,,,,,
16.16,,,,,,,,14.01,25.59,,,,,,
2.96,,,,,,,,12.65,15.37,,,,,,
11.27,,,,,,,,10.1,17.2,,,,,,
16.0,,,,,,,,1.85,16.03,,,,,,
4.35,,,,,,,,11.02,4.21,,,,,,
3.39,,,,,,,,10.95,1.75,,,,,,
1.56,,,,,,,,19.83,11.16,,,,,,
6.11,,,,,,,,4.04,3.95,,,,,,
19.17,,,,,,,,12.76,17.63,,,,,,
14.45,,,,,,,,2.09,4.17,,,,,,
8.62,,,,,,,,13.61,47.69,,,,,,
7.34,,,,,,,,4.02,28.18,,,,,,
8.85,,,,,,,,18.84,7.37,,,,,,
6.48,,,,,,,,1.26,10.55,,,,,,
13.06,,,,,,,,12.74,10.19,,,,,,
8.94,,,,,,,,2.66,19.85,,,,,,
10.59,,,,,,,,12.85,3.5,,,,,,
9.26,,,,,,,,15.73,15.87,,,,,,
49.56,,,,,,,,17.59,5.96,,,,,,
14.21,,,,,,,,12.98,8.47,,,,,,
16.51,,,,,,,,11.39,13.98,,,,,,
9.15,,,,,,,,1.41,6.04,,,,,,
11.51,,,,,,,,10.14,20.09,,,,,,
15.36,,,,,,,,6.13,26.97,,,,,,
14.05,,,,,,,,8.86,26.44,,,,,,
